～倍<div class="hint">～times; ～fold</div>,～ばい,～times; ～fold,<ruby>高<rt>たか</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>安<rt>やす</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>の10 <ruby>倍<rt>ばい</rt></ruby>です。,An expensive car is 10X a cheap car.
はっきり<div class="hint">clearly; plainly | to be clear; to be definite</div>,はっきり,clearly; plainly | to be clear; to be definite,はっきり <ruby>言<rt>い</rt></ruby>いなさい。,Speak clearly.
パパ<div class="hint">Papa</div>,パパ,Papa,パパ、お <ruby>腹<rt>なか</rt></ruby>が <ruby>空<rt>す</rt></ruby>いたよ。,Papa; I'm hungry.
ハンドバッグ<div class="hint">handbag; purse</div>,ハンドバッグ,handbag; purse,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>革<rt>かわ</rt></ruby> <ruby>製<rt>せい</rt></ruby>のハンドバッグをくれた。,She gave me a leather handbag.
ハンバーグ<div class="hint">hamburger (refers to meat; not the bun); Hamburg steak</div>,ハンバーグ,hamburger (refers to meat; not the bun); Hamburg steak,<ruby>美味<rt>おい</rt></ruby>しいハンバーグが <ruby>食<rt>た</rt></ruby>べられる <ruby>店<rt>みせ</rt></ruby>がご <ruby>存知<rt>ぞんじ</rt></ruby>ですか？,Do you know a store where we can eat delicious hamburg steak?
ピアノ<div class="hint">piano</div>,ピアノ,piano,<ruby>部屋<rt>へや</rt></ruby>が <ruby>狭<rt>せま</rt></ruby>いのでピアノを <ruby>買<rt>か</rt></ruby>っても <ruby>置<rt>お</rt></ruby>く <ruby>場所<rt>ばしょ</rt></ruby>がないです。,My room is small; so even if I buy a piano I have no place to put it.
ひげ<div class="hint">moustache; beard; facial hair</div>,ひげ,moustache; beard; facial hair,<ruby>毎朝<rt>まいあさ</rt></ruby>ひげを <ruby>剃<rt>そ</rt></ruby>ります。,I shave my beard every morning.
びっくり<div class="hint">to be surprised</div>,びっくり,to be surprised,あの <ruby>人気<rt>にんき</rt></ruby>な <ruby>居酒屋<rt>いざかや</rt></ruby>に10 <ruby>人<rt>にん</rt></ruby>しか <ruby>入<rt>い</rt></ruby>れなくてびっくりしました。,I was surprised because only 10 people could enter that popular izakaya.
ひどい<div class="hint">cruel; harsh; awful</div>,ひどい,cruel; harsh; awful,<ruby>嵐<rt>あらし</rt></ruby>だから <ruby>風<rt>かぜ</rt></ruby>がひどく <ruby>吹<rt>ふ</rt></ruby>く。,It is a storm so the wind will blow harshly.
ビル<div class="hint">a building</div>,ビル,a building,<ruby>山本<rt>やまもと</rt></ruby>さんの <ruby>部屋<rt>へや</rt></ruby>はあのビルの <ruby>何<rt>なん</rt></ruby> <ruby>階<rt>かい</rt></ruby>か <ruby>分<rt>わ</rt></ruby>かりますか？,Do you know what floor of that building Mrs. Yamamoto’s room is?
ファックス<div class="hint">FAX</div>,ファックス,FAX,ファックスを <ruby>使<rt>つか</rt></ruby>っている <ruby>会社<rt>かいしゃ</rt></ruby>が <ruby>少<rt>すく</rt></ruby>なくなっています。,Companies that use fax are becoming fewer.
ぶどう<div class="hint">grape (fruit)</div>,ぶどう,grape (fruit),<ruby>種<rt>たね</rt></ruby>がないぶどうは <ruby>好<rt>す</rt></ruby>きです。,I like grapes without seeds.
プレゼント<div class="hint">present; gift | to give a present</div>,プレゼント,present; gift | to give a present,<ruby>母<rt>はは</rt></ruby>にプレゼントをもらいました。,I received a present from my mother.
ベル<div class="hint">bell</div>,ベル,bell,<ruby>授業<rt>じゅぎょう</rt></ruby>が <ruby>始<rt>はじ</rt></ruby>まったら、ベルが <ruby>鳴<rt>な</rt></ruby>ります。,The bell will ring when class begins.
ほとんど<div class="hint">mostly; nearly; just about</div>,ほとんど,mostly; nearly; just about,パーティはほとんど <ruby>女性<rt>じょせい</rt></ruby>だった。,The party was mostly women.
まず<div class="hint">first (of all); to start with</div>,まず,first (of all); to start with,まず <ruby>何<rt>なに</rt></ruby>を <ruby>作<rt>つく</rt></ruby>るのか <ruby>決<rt>き</rt></ruby>めてから <ruby>材料<rt>ざいりょう</rt></ruby>を <ruby>買<rt>か</rt></ruby>いましょう。,Let's first decide what to make; then let's buy ingredients.
もうすぐ<div class="hint">soon</div>,もうすぐ,soon,もうすぐ <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>りそうです。,It seems like it will rain soon.
もし<div class="hint">if; in case</div>,もし,if; in case,もし <ruby>遅<rt>おく</rt></ruby>れたら、 <ruby>連絡<rt>れんらく</rt></ruby>してください。,Please contact me if you are going to be late.
もらう<div class="hint">to receive</div>,もらう,to receive,<ruby>彼女<rt>かのじょ</rt></ruby>はプレゼントをもらったら <ruby>嬉<rt>うれ</rt></ruby>しく <ruby>見<rt>み</rt></ruby>えた。,She looked overjoyed when she received the present.
やっと<div class="hint">at last; finally</div>,やっと,at last; finally,<ruby>今日<rt>きょう</rt></ruby>ずっと <ruby>立<rt>た</rt></ruby>って <ruby>仕事<rt>しごと</rt></ruby>したんですが、やっと <ruby>終<rt>お</rt></ruby>わりました。,I worked while standing today; but it is finally over.
やっぱり<div class="hint">as expected; still; in spite of</div>,やっぱり,as expected; still; in spite of,<ruby>皆<rt>みな</rt></ruby>がダメと <ruby>言<rt>い</rt></ruby>いましたが、やっぱり <ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>欲<rt>ほ</rt></ruby>しいから <ruby>買<rt>か</rt></ruby>ってしまいました。,Everyone said it was no good; but she wanted it so she bought it.
やはり<div class="hint">as expected; still; in spite of</div>,やはり,as expected; still; in spite of,<ruby>皆<rt>みな</rt></ruby>がダメと <ruby>言<rt>い</rt></ruby>いましたが、やはり <ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>欲<rt>ほ</rt></ruby>しいから <ruby>買<rt>か</rt></ruby>ってしまいました。,Everyone said it was no good; but she wanted it so she bought it.
レジ<div class="hint">cash register</div>,レジ,cash register,レジで <ruby>会計<rt>かいけい</rt></ruby>してください。,Please pay at the register.
レポート<div class="hint">report; paper</div>,レポート,report; paper,<ruby>金曜日<rt>きんようび</rt></ruby>までにレポートを <ruby>出<rt>だ</rt></ruby>さなければ、 <ruby>授業<rt>じゅぎょう</rt></ruby>を <ruby>失敗<rt>しっぱい</rt></ruby>します。,If I do not turn in the report by Friday; I will fail the class.
ワープロ<div class="hint">word processor</div>,ワープロ,word processor,ワープロで <ruby>手紙<rt>てがみ</rt></ruby>を <ruby>書<rt>か</rt></ruby>きました。,I wrote a letter on the word processor.
一度<div class="hint">once</div>,いちど,once,1 <ruby>週間<rt>しゅうかん</rt></ruby>に <ruby>一度<rt>いちど</rt></ruby> <ruby>水泳<rt>すいえい</rt></ruby>をしています。,I am swimming once a week.
一生懸命<div class="hint">with all one's might; very hard</div>,いっしょうけんめい,with all one's might; very hard,<ruby>試験<rt>しけん</rt></ruby>を <ruby>失敗<rt>しっぱい</rt></ruby>しないように <ruby>一生懸命<rt>いっしょうけんめい</rt></ruby> <ruby>勉強<rt>べんきょう</rt></ruby>しなさい。,Study hard so you don't fail the test.
丁寧<div class="hint">polite; courteous | thorough; conscientious</div>,ていねい,polite; courteous | thorough; conscientious,お <ruby>客様<rt>きゃくさま</rt></ruby>に <ruby>丁寧<rt>ていねい</rt></ruby>におじぎをしてください。,Please bow politely to the customer.
上がる<div class="hint">to rise; to ascend</div>,あがる,to rise; to ascend,<ruby>最近<rt>さいきん</rt></ruby>ガソリンの <ruby>値段<rt>ねだん</rt></ruby>がどんどん <ruby>上<rt>あ</rt></ruby>がっているね。,The price of gasoline has been going up more and more recently.
下がる<div class="hint">to come down; to hang</div>,さがる,to come down; to hang,<ruby>昨日<rt>きのう</rt></ruby> <ruby>熱<rt>ねつ</rt></ruby>があったんですけど、 <ruby>今朝<rt>けさ</rt></ruby> <ruby>下<rt>さ</rt></ruby>がりました。,I had a fever yesterday; but it came down this morning.
下げる<div class="hint">to hang | to lower</div>,さげる,to hang | to lower,<ruby>手<rt>て</rt></ruby>を <ruby>下<rt>さ</rt></ruby>げてください。,Please lower your hand.
下さる<div class="hint">(hon) to give (to me)</div>,くださる,(hon) to give (to me),<ruby>先生<rt>せんせい</rt></ruby>が <ruby>勉強<rt>べんきょう</rt></ruby> <ruby>資料<rt>しりょう</rt></ruby>を <ruby>下<rt>くだ</rt></ruby>さったから <ruby>合格<rt>ごうかく</rt></ruby>しました。,I passed because the teacher gave me study materials.
下りる<div class="hint">to descend (e.g. a mountain); to go down</div>,おりる,to descend (e.g. a mountain); to go down,ケンが <ruby>山<rt>やま</rt></ruby>から <ruby>下<rt>お</rt></ruby>りてきた。,Ken climbed down from the mountain.
下る<div class="hint">to descend; to come down</div>,さがる,to descend; to come down,<ruby>彼<rt>かれ</rt></ruby>は <ruby>自転車<rt>じてんしゃ</rt></ruby>で <ruby>坂<rt>さか</rt></ruby>を <ruby>下<rt>さが</rt></ruby>りました。,He came down the hill on a bicycle.
下宿<div class="hint">lodging; boarding house</div>,げしゅく,lodging; boarding house,ホテルに <ruby>泊<rt>と</rt></ruby>まらなくてもいいので、 <ruby>下宿<rt>げしゅく</rt></ruby>を <ruby>探<rt>さが</rt></ruby>そう。,I’m fine not staying at a hotel so let’s look for lodging.
下着<div class="hint">underwear</div>,したぎ,underwear,<ruby>下着<rt>したぎ</rt></ruby>を1つしか <ruby>持<rt>も</rt></ruby>って <ruby>来<rt>き</rt></ruby>ていないので、 <ruby>店<rt>みせ</rt></ruby>に <ruby>行<rt>い</rt></ruby>かないといけないです。,I only brought one pair of underwear; so I need to go to the store.
不便<div class="hint">inconvenience</div>,ふべん,inconvenience,<ruby>電話<rt>でんわ</rt></ruby>がないと <ruby>不便<rt>ふべん</rt></ruby>だね。,It’s inconvenient not to have a phone.
世界<div class="hint">world</div>,せかい,world,<ruby>世界<rt>せかい</rt></ruby>に <ruby>一番<rt>いちばん</rt></ruby> <ruby>高<rt>たか</rt></ruby>いビルはどこですか？,Where is the tallest building in the world?
世話<div class="hint">looking after</div>,せわ,looking after,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>赤<rt>あか</rt></ruby>ん <ruby>坊<rt>ぼう</rt></ruby>の <ruby>世話<rt>せわ</rt></ruby>をした。,She looked after the baby.
両方<div class="hint">both; both sides</div>,りょうほう,both; both sides,<ruby>野菜<rt>やさい</rt></ruby>と <ruby>果物<rt>くだもの</rt></ruby>のどちらが <ruby>食<rt>た</rt></ruby>べたいですか？ <ruby>両方<rt>りょうほう</rt></ruby>が <ruby>食<rt>た</rt></ruby>べたいです。,Would you rather eat vegetables or fruits?  I want to eat both.
中学校<div class="hint">middle school</div>,ちゅうがっこう,middle school,<ruby>中学校<rt>ちゅうがっこう</rt></ruby>を <ruby>卒業<rt>そつぎょう</rt></ruby>すると、 <ruby>高校<rt>こうこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>く。,When you graduate from middle school; you to go high school.
久しぶり<div class="hint">a long time; it's been a while</div>,ひさしぶり,a long time; it's been a while,<ruby>久<rt>ひさ</rt></ruby>しぶりです。,Long time no see.
乗り換える<div class="hint">to transfer/change (bus; train)</div>,のりかえる,to transfer/change (bus; train),<ruby>次<rt>つぎ</rt></ruby>の <ruby>駅<rt>えき</rt></ruby>で <ruby>乗<rt>の</rt></ruby>り <ruby>換<rt>か</rt></ruby>えます。,I will change trains at the next station.
乗り物<div class="hint">vehicle</div>,のりもの,vehicle,<ruby>東京<rt>とうきょう</rt></ruby>に <ruby>色々<rt>いろいろ</rt></ruby>な <ruby>乗<rt>の</rt></ruby>り <ruby>物<rt>もの</rt></ruby>がありますが、 <ruby>電車<rt>でんしゃ</rt></ruby>が <ruby>一番<rt>いちばん</rt></ruby> <ruby>便利<rt>べんり</rt></ruby>だと <ruby>思<rt>おも</rt></ruby>います。,There are various vehicles in Tokyo; but I think the train is the most convenient.
乾く<div class="hint">to get dry</div>,かわく,to get dry,<ruby>今日<rt>きょう</rt></ruby>は <ruby>暑<rt>あつ</rt></ruby>いから <ruby>洗濯<rt>せんたく</rt></ruby> <ruby>物<rt>もの</rt></ruby>がすぐ <ruby>乾<rt>かわ</rt></ruby>くと <ruby>思<rt>おも</rt></ruby>う。,Today is hot; so it think the laundry will dry quickly.
予定<div class="hint">plans; schedule | expectation; estimate</div>,よてい,plans; schedule | expectation; estimate,<ruby>山本<rt>やまもと</rt></ruby>さんが <ruby>別<rt>べつ</rt></ruby>の <ruby>予定<rt>よてい</rt></ruby>がありそうです。,Yamamoto-san seems to have other plans.
予約<div class="hint">reservation; appointment</div>,よやく,reservation; appointment,4 <ruby>時<rt>じ</rt></ruby>の <ruby>予約<rt>よやく</rt></ruby>なので、3 <ruby>時<rt>じ</rt></ruby>までに <ruby>出<rt>で</rt></ruby>ます。,I have reservations at 4:00; so I will leave by 3:00.
予習<div class="hint">preparation for a lesson</div>,よしゅう,preparation for a lesson,<ruby>授業<rt>じゅぎょう</rt></ruby>の <ruby>予習<rt>よしゅう</rt></ruby>をしなければ、 <ruby>先生<rt>せんせい</rt></ruby>が <ruby>怒<rt>おこ</rt></ruby>ります。,If I don’t prepare for class; sensei will be angry.
事務所<div class="hint">office</div>,じむしょ,office,<ruby>書類<rt>しょるい</rt></ruby>を <ruby>出<rt>だ</rt></ruby>してから <ruby>事務所<rt>じむしょ</rt></ruby>に <ruby>戻<rt>もど</rt></ruby>ってください。,Please return to the office after you submit the papers.
事故<div class="hint">accident; incident; trouble</div>,じこ,accident; incident; trouble,<ruby>事故<rt>じこ</rt></ruby>が <ruby>起<rt>お</rt></ruby>きないように <ruby>気<rt>き</rt></ruby>を <ruby>付<rt>つ</rt></ruby>けてください。,Be careful so as not to have an accident.
亡くなる<div class="hint">to die; to pass away</div>,なくなる,to die; to pass away,<ruby>知<rt>し</rt></ruby>り <ruby>合<rt>あ</rt></ruby>いが <ruby>交通<rt>こうつう</rt></ruby> <ruby>事故<rt>じこ</rt></ruby>で <ruby>亡<rt>な</rt></ruby>くなりました。,My acquaintance passed away in a trafic accident.
交通<div class="hint">traffic; transportation; communication</div>,こうつう,traffic; transportation; communication,<ruby>知<rt>し</rt></ruby>り <ruby>合<rt>あ</rt></ruby>いが <ruby>交通<rt>こうつう</rt></ruby> <ruby>事故<rt>じこ</rt></ruby>で <ruby>亡<rt>な</rt></ruby>くなりました。,My acquaintance passed away in a trafic accident.
人口<div class="hint">population</div>,じんこう,population,<ruby>東京<rt>とうきょう</rt></ruby>の <ruby>人口<rt>じんこう</rt></ruby>はどのくらいですか？,About how much is the population of Tokyo?
人形<div class="hint">doll; puppet; figure</div>,にんぎょう,doll; puppet; figure,あの <ruby>赤<rt>あか</rt></ruby>ちゃんは <ruby>人形<rt>にんぎょう</rt></ruby>のような <ruby>大<rt>おお</rt></ruby>きさですね。,That baby is the size of a doll.
今夜<div class="hint">this evening; tonight</div>,こんや,this evening; tonight,<ruby>今夜<rt>こんや</rt></ruby>のパーティでお <ruby>酒<rt>さけ</rt></ruby>を <ruby>飲<rt>の</rt></ruby>みすぎないでね。,Don’t drink too much alcohol at tonight’s party.
今度<div class="hint">next time; another time</div>,こんど,next time; another time,<ruby>今度<rt>こんど</rt></ruby>レポートに <ruby>名前<rt>なまえ</rt></ruby>を <ruby>書<rt>か</rt></ruby>くように <ruby>注意<rt>ちゅうい</rt></ruby>してくださいね。,Please be careful to write your name on the report next time.
仕方<div class="hint">way; method; means</div>,しかた,way; method; means,<ruby>勉強<rt>べんきょう</rt></ruby>の <ruby>仕方<rt>しかた</rt></ruby>が <ruby>良<rt>よ</rt></ruby>くなければ、いくら <ruby>頑張<rt>がんば</rt></ruby>っても <ruby>覚<rt>おぼ</rt></ruby>えないです。,If your way of studying is not good; no matter how hard to try you won't memorize it.
