助ける,たすける,help; save,<ruby>彼女<rt>かのじょ</span></rt></ruby>は <ruby>病気<rt>びょうき</span></rt></ruby>の <ruby>犬<rt>いぬ</span></rt></ruby>を <ruby>助<rt>たす</span></rt></ruby>けた。,She saved a sick dog.
殺す,ころす,kill,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>生<rt>い</span></rt></ruby>き <ruby>物<rt>もの</span></rt></ruby>を <ruby>殺<rt>ころ</span></rt></ruby>すのが <ruby>嫌<rt>きら</span></rt></ruby>いだ。,I hate killing living things.
逃げる,にげる,escape; run away,<ruby>鳥<rt>とり</span></rt></ruby>が <ruby>窓<rt>まど</span></rt></ruby>から <ruby>逃<rt>に</span></rt></ruby>げたよ。,The bird flew out of the window.
探す,さがす,search for; look for,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>郵便<rt>ゆうびん</span></rt></ruby> <ruby>局<rt>きょく</span></rt></ruby>を <ruby>探<rt>さが</span></rt></ruby>していました。,He was looking for the post office.
捨てる,すてる,discard; abandon,ゴミを <ruby>捨<rt>す</span></rt></ruby>ててください。,Please throw away the garbage.
落ちる,おちる,fall; come down,<ruby>猿<rt>さる</span></rt></ruby>も <ruby>木<rt>き</span></rt></ruby>から <ruby>落<rt>お</span></rt></ruby>ちる。,Even monkeys fall from trees.
落とす,おとす,drop,<ruby>途中<rt>とちゅう</span></rt></ruby>で <ruby>財布<rt>さいふ</span></rt></ruby>を <ruby>落<rt>お</span></rt></ruby>としました。,I lost my purse on the way.
流行る,はやる,be in fashion; be popular,<ruby>去年<rt>きょねん</span></rt></ruby>はスニーカーが <ruby>流行<rt>はや</span></rt></ruby>りました。,Sneakers were popular last year.
流れる,ながれる,flow; stream,ラジオから <ruby>美<rt>うつく</span></rt></ruby>しい <ruby>音楽<rt>おんがく</span></rt></ruby>が <ruby>流<rt>なが</span></rt></ruby>れています。,Beautiful music is coming out from the radio.
洗う,あらう,wash,<ruby>早<rt>はや</span></rt></ruby>く <ruby>顔<rt>かお</span></rt></ruby>を <ruby>洗<rt>あら</span></rt></ruby>いなさい。,Hurry and wash your face.
冷める,さめる,cool off,<ruby>彼<rt>かれ</span></rt></ruby>への <ruby>気持<rt>きも</span></rt></ruby>ちが <ruby>冷<rt>さ</span></rt></ruby>めた。,My feelings for him have died down.
曇る,くもる,become cloudy,<ruby>明日<rt>あす</span></rt></ruby>は <ruby>昼<rt>ひる</span></rt></ruby> <ruby>頃<rt>ごろ</span></rt></ruby>から <ruby>曇<rt>くも</span></rt></ruby>るでしょう。,It'll probably get cloudy around noon tomorrow.
振る,ふる,wave; shake,<ruby>犬<rt>いぬ</span></rt></ruby>がしっぽを <ruby>振<rt>ふ</span></rt></ruby>っている。,The dog is wagging its tail.
建てる,たてる,build; erect,<ruby>私<rt>わたし</span></rt></ruby>たちは <ruby>来年<rt>らいねん</span></rt></ruby>、 <ruby>家<rt>いえ</span></rt></ruby>を <ruby>建<rt>た</span></rt></ruby>てます。,We'll build a house next year.
置く,おく,put; place,<ruby>彼<rt>かれ</span></rt></ruby>はかばんをいすの <ruby>上<rt>うえ</span></rt></ruby>に <ruby>置<rt>お</span></rt></ruby>きました。,He put the bag on the chair.
びっくりする,びっくりする,be surprised; be startled (casual),<ruby>大<rt>おお</span></rt></ruby>きな <ruby>音<rt>おと</span></rt></ruby>にびっくりしました。,I was startled by a sudden noise.
訪ねる,たずねる,visit; call on,<ruby>彼<rt>かれ</span></rt></ruby>はニューヨークの <ruby>友達<rt>ともだち</span></rt></ruby>を <ruby>訪<rt>たず</span></rt></ruby>ねた。,He visited his friend in New York.
繰り返す,くりかえす,repeat,<ruby>彼女<rt>かのじょ</span></rt></ruby>は <ruby>同<rt>おな</span></rt></ruby>じ <ruby>間違<rt>まちが</span></rt></ruby>いを <ruby>繰<rt>く</span></rt></ruby>り <ruby>返<rt>かえ</span></rt></ruby>した。,She repeated the same mistake.
守る,まもる,protect; observe,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>約束<rt>やくそく</span></rt></ruby>を <ruby>守<rt>まも</span></rt></ruby>る <ruby>人<rt>ひと</span></rt></ruby>です。,He's one to keep his promise.
戻る,もどる,return to a point of departure,<ruby>今<rt>いま</span></rt></ruby>、 <ruby>会社<rt>かいしゃ</span></rt></ruby>に <ruby>戻<rt>もど</span></rt></ruby>ります。,I'm going back to the office now.
起きる,おきる,get up; get out of bed,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>毎朝<rt>まいあさ</span></rt></ruby>６ <ruby>時<rt>じ</span></rt></ruby>に <ruby>起<rt>お</span></rt></ruby>きます。,I get up at six o'clock every morning.
ぶつかる,ぶつかる,hit; bump into,<ruby>車<rt>くるま</span></rt></ruby>が <ruby>電柱<rt>でんちゅう</span></rt></ruby>にぶつかった。,The car crashed into the telephone pole.
起こす,おこす,wake (someone) up,<ruby>明日<rt>あす</span></rt></ruby>、６ <ruby>時<rt>じ</span></rt></ruby>に <ruby>起<rt>お</span></rt></ruby>こしてください。,Please wake me up tomorrow at six o'clock.
起こる,おこる,happen,<ruby>町<rt>まち</span></rt></ruby>で <ruby>大<rt>だい</span></rt></ruby> <ruby>事件<rt>じけん</span></rt></ruby>が <ruby>起<rt>お</span></rt></ruby>こりました。,There was a major incident in town.
起きる,おきる,occur; happen,<ruby>近所<rt>きんじょ</span></rt></ruby>で <ruby>盗難<rt>とうなん</span></rt></ruby> <ruby>事件<rt>じけん</span></rt></ruby>が <ruby>起<rt>お</span></rt></ruby>きました。,A burglary occurred in my neighborhood.
寝る,ねる,sleep; go to sleep,もう <ruby>寝<rt>ね</span></rt></ruby>よう。,Let's go to bed.
載せる,のせる,place; put on,<ruby>皿<rt>さら</span></rt></ruby>にケーキを <ruby>載<rt>の</span></rt></ruby>せました。,I put the cake on a plate.
気を付ける,きをつける,be careful about; pay attention to,<ruby>体<rt>からだ</span></rt></ruby>に <ruby>気<rt>き</span></rt></ruby>を <ruby>付<rt>つ</span></rt></ruby>けてください。,Please take care of yourself.
締める,しめる,tighten; fasten,<ruby>彼<rt>かれ</span></rt></ruby>はシートベルトを <ruby>締<rt>し</span></rt></ruby>めた。,He fastened his seatbelt.
困る,こまる,be in trouble; not know what to do,ケータイをなくして <ruby>困<rt>こま</span></rt></ruby>っています。,I lost my cell phone and don't know what to do.
伸びる,のびる,stretch; grow,<ruby>髪<rt>かみ</span></rt></ruby>がだいぶ <ruby>伸<rt>の</span></rt></ruby>びたね。,Your hair has grown a lot; hasn't it?
笑う,わらう,laugh; smile,<ruby>赤<rt>あか</span></rt></ruby>ん <ruby>坊<rt>ぼう</span></rt></ruby>が <ruby>笑<rt>わら</span></rt></ruby>っています。,The baby is smiling.
喜ぶ,よろこぶ,be happy; be delighted,<ruby>彼女<rt>かのじょ</span></rt></ruby>はとても <ruby>喜<rt>よろこ</span></rt></ruby>びました。,She was very pleased.
贈る,おくる,offer; give,<ruby>母<rt>はは</span></rt></ruby>に <ruby>花<rt>はな</span></rt></ruby>を <ruby>贈<rt>おく</span></rt></ruby>った。,I sent my mother some flowers.
乾く,かわく,become dry,<ruby>夏<rt>なつ</span></rt></ruby>は <ruby>洗濯<rt>せんたく</span></rt></ruby> <ruby>物<rt>もの</span></rt></ruby>がすぐ <ruby>乾<rt>かわ</span></rt></ruby>く。,Laundry dries quickly in summer.
呼ぶ,よぶ,call; name,ウェイターを <ruby>呼<rt>よ</span></rt></ruby>びましょう。,Let's call the waiter.
撮る,とる,take (a photograph); film,<ruby>写真<rt>しゃしん</span></rt></ruby>をたくさん <ruby>撮<rt>と</span></rt></ruby>りました。,I took a lot of photographs.
許す,ゆるす,permit; forgive,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>彼<rt>かれ</span></rt></ruby>を <ruby>許<rt>ゆる</span></rt></ruby>しました。,I forgave him.
手伝う,てつだう,help; assist,<ruby>私<rt>わたし</span></rt></ruby>が <ruby>手伝<rt>てつだ</span></rt></ruby>いましょう。,I can help you.
伝える,つたえる,convey; transmit,みんなにこのことを <ruby>伝<rt>つた</span></rt></ruby>えてください。,Please tell everyone about this matter.
驚く,おどろく,be surprised; be startled,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>血<rt>ち</span></rt></ruby>を <ruby>見<rt>み</span></rt></ruby>て <ruby>驚<rt>おどろ</span></rt></ruby>いた。,He was surprised when he saw the blood.
倒れる,たおれる,fall over,<ruby>強風<rt>きょうふう</span></rt></ruby>で <ruby>木<rt>き</span></rt></ruby>が <ruby>倒<rt>たお</span></rt></ruby>れた。,A tree fell down in the gale.
触る,さわる,touch; feel,<ruby>絵<rt>え</span></rt></ruby>に <ruby>触<rt>さわ</span></rt></ruby>らないでください。,Please don't touch the painting.
